Room,Cluster,Batch,Department,Exam Day,Student Name,Student ID,Faculty
Room 1,2,19,CS,Monday,John Smith,101,Robert Garcia
Room 1,2,19,CS,Monday,Alice Johnson,102,Robert Garcia
Room 1,2,20,CS,Monday,Robert Garcia,109,Robert Garcia
Room 1,2,20,CS,Monday,Emma White,110,Robert Garcia
Room 1,2,21,CS,Monday,Joseph Carter,117,Robert Garcia
Room 1,2,21,CS,Monday,Abigail Young,118,Robert Garcia
Room 1,2,22,CS,Monday,David Harris,125,Robert Garcia
Room 1,2,22,CS,Monday,Samantha Allen,126,Robert Garcia
Room 1,2,19,CS,Monday,John Smith,133,Robert Garcia
Room 1,2,19,CS,Monday,Alice Johnson,134,Robert Garcia
Room 1,2,20,CS,Monday,Robert Garcia,141,Robert Garcia
Room 1,2,20,CS,Monday,Emma White,142,Robert Garcia
Room 1,2,21,CS,Monday,Joseph Carter,149,Robert Garcia
Room 1,2,21,CS,Monday,Abigail Young,150,Robert Garcia
Room 1,2,22,CS,Monday,David Harris,157,Robert Garcia
Room 1,2,22,CS,Monday,Samantha Allen,158,Robert Garcia
Room 1,2,19,CS,Monday,John Smith,165,Robert Garcia
Room 1,2,19,CS,Monday,Alice Johnson,166,Robert Garcia
Room 1,2,20,CS,Monday,Robert Garcia,173,Robert Garcia
Room 1,2,20,CS,Monday,Emma White,174,Robert Garcia
Room 1,2,21,CS,Monday,Joseph Carter,181,Robert Garcia
Room 1,2,21,CS,Monday,Abigail Young,182,Robert Garcia
Room 1,2,22,CS,Monday,David Harris,189,Robert Garcia
Room 1,2,22,CS,Monday,Samantha Allen,190,Robert Garcia
Room 1,2,19,CS,Monday,John Smith,197,Robert Garcia
Room 1,2,19,CS,Monday,Alice Johnson,198,Robert Garcia
Room 1,2,20,CS,Monday,Robert Garcia,205,Robert Garcia
Room 1,2,20,CS,Monday,Emma White,206,Robert Garcia
Room 1,2,21,CS,Monday,Joseph Carter,213,Robert Garcia
Room 1,2,21,CS,Monday,Abigail Young,214,Robert Garcia
Room 2,2,22,CS,Monday,David Harris,221,Abigail Young
Room 2,2,22,CS,Monday,Samantha Allen,222,Abigail Young
