Batch,Dept,Name,ID,Cluster,Room,Seat,Day,Time Slot,Room Capacity
21,AI,Alexander Scott,367,3,Room 1,1,Day 1,Time Slot 1,30
20,AI,William Rodriguez,391,3,Room 1,2,Day 1,Time Slot 1,30
21,AI,Alexander Scott,800,3,Room 1,3,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,801,3,Room 1,4,Day 1,Time Slot 1,30
19,AI,Sarah Clark,384,3,Room 1,5,Day 1,Time Slot 1,30
19,AI,James Wilson,383,3,Room 1,6,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,808,3,Room 1,7,Day 1,Time Slot 1,30
22,AI,Grace Robinson,809,3,Room 1,8,Day 1,Time Slot 1,30
22,AI,Grace Robinson,376,3,Room 1,9,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,375,3,Room 1,10,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,368,3,Room 1,11,Day 1,Time Slot 1,30
19,AI,James Wilson,816,3,Room 1,12,Day 1,Time Slot 1,30
19,AI,Sarah Clark,817,3,Room 1,13,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,360,3,Room 1,14,Day 1,Time Slot 1,30
20,AI,William Rodriguez,359,3,Room 1,15,Day 1,Time Slot 1,30
20,AI,William Rodriguez,824,3,Room 1,16,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,392,3,Room 1,17,Day 1,Time Slot 1,30
21,AI,Alexander Scott,399,3,Room 1,18,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,400,3,Room 1,19,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,793,3,Room 1,20,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,439,3,Room 1,21,Day 1,Time Slot 1,30
21,AI,Alexander Scott,768,3,Room 1,22,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,769,3,Room 1,23,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,432,3,Room 1,24,Day 1,Time Slot 1,30
21,AI,Alexander Scott,431,3,Room 1,25,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,776,3,Room 1,26,Day 1,Time Slot 1,30
22,AI,Grace Robinson,777,3,Room 1,27,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,825,3,Room 1,28,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,424,3,Room 1,29,Day 1,Time Slot 1,30
19,AI,Sarah Clark,416,3,Room 1,30,Day 1,Time Slot 1,30
19,AI,James Wilson,415,3,Room 2,31,Day 1,Time Slot 1,25
19,AI,James Wilson,784,3,Room 2,32,Day 1,Time Slot 1,25
19,AI,Sarah Clark,785,3,Room 2,33,Day 1,Time Slot 1,25
22,AI,Grace Robinson,408,3,Room 2,34,Day 1,Time Slot 1,25
22,AI,Matthew Nelson,407,3,Room 2,35,Day 1,Time Slot 1,25
20,AI,William Rodriguez,792,3,Room 2,36,Day 1,Time Slot 1,25
20,AI,William Rodriguez,423,3,Room 2,37,Day 1,Time Slot 1,25
22,AI,Grace Robinson,440,3,Room 2,38,Day 1,Time Slot 1,25
19,AI,Sarah Clark,352,3,Room 2,39,Day 1,Time Slot 1,25
21,AI,Alexander Scott,832,3,Room 2,40,Day 1,Time Slot 1,25
19,AI,Sarah Clark,293,3,Room 2,41,Day 1,Time Slot 1,25
19,AI,James Wilson,292,3,Room 2,42,Day 1,Time Slot 1,25
22,AI,Grace Robinson,868,3,Room 2,43,Day 1,Time Slot 1,25
22,AI,Grace Robinson,285,3,Room 2,44,Day 1,Time Slot 1,25
22,AI,Matthew Nelson,284,3,Room 2,45,Day 1,Time Slot 1,25
19,AI,James Wilson,875,3,Room 2,46,Day 1,Time Slot 1,25
19,AI,Sarah Clark,876,3,Room 2,47,Day 1,Time Slot 1,25
21,AI,Charlotte Evans,277,3,Room 2,48,Day 1,Time Slot 1,25
21,AI,Alexander Scott,276,3,Room 2,49,Day 1,Time Slot 1,25
20,AI,William Rodriguez,883,3,Room 2,50,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,269,3,Room 2,51,Day 1,Time Slot 1,25
20,AI,William Rodriguez,268,3,Room 2,52,Day 1,Time Slot 1,25
20,AI,Sophia Lopez,884,3,Room 2,53,Day 1,Time Slot 1,25
19,AI,Sarah Clark,261,3,Room 2,54,Day 1,Time Slot 1,25
19,AI,James Wilson,260,3,Room 2,55,Day 1,Time Slot 1,25
22,AI,Matthew Nelson,867,3,Room 3,56,Day 1,Time Slot 1,35
20,AI,William Rodriguez,300,3,Room 3,57,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,301,3,Room 3,58,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,860,3,Room 3,59,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,833,3,Room 3,60,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,341,3,Room 3,61,Day 1,Time Slot 1,35
21,AI,Alexander Scott,340,3,Room 3,62,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,333,3,Room 3,63,Day 1,Time Slot 1,35
20,AI,William Rodriguez,332,3,Room 3,64,Day 1,Time Slot 1,35
19,AI,James Wilson,843,3,Room 3,65,Day 1,Time Slot 1,35
19,AI,Sarah Clark,844,3,Room 3,66,Day 1,Time Slot 1,35
19,AI,James Wilson,351,3,Room 3,67,Day 1,Time Slot 1,35
19,AI,Sarah Clark,325,3,Room 3,68,Day 1,Time Slot 1,35
20,AI,William Rodriguez,851,3,Room 3,69,Day 1,Time Slot 1,35
22,AI,Grace Robinson,317,3,Room 3,70,Day 1,Time Slot 1,35
22,AI,Matthew Nelson,316,3,Room 3,71,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,852,3,Room 3,72,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,309,3,Room 3,73,Day 1,Time Slot 1,35
21,AI,Alexander Scott,308,3,Room 3,74,Day 1,Time Slot 1,35
21,AI,Alexander Scott,859,3,Room 3,75,Day 1,Time Slot 1,35
19,AI,James Wilson,324,3,Room 3,76,Day 1,Time Slot 1,35
19,AI,James Wilson,447,3,Room 3,77,Day 1,Time Slot 1,35
19,AI,Sarah Clark,448,3,Room 3,78,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,761,3,Room 3,79,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,670,3,Room 3,80,Day 1,Time Slot 1,35
20,AI,Sophia Lopez,579,3,Room 3,81,Day 1,Time Slot 1,35
20,AI,William Rodriguez,578,3,Room 3,82,Day 1,Time Slot 1,35
21,AI,Alexander Scott,677,3,Room 3,83,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,678,3,Room 3,84,Day 1,Time Slot 1,35
19,AI,Sarah Clark,571,3,Room 3,85,Day 1,Time Slot 1,35
19,AI,James Wilson,570,3,Room 3,86,Day 1,Time Slot 1,35
22,AI,Grace Robinson,563,3,Room 3,87,Day 1,Time Slot 1,35
22,AI,Matthew Nelson,562,3,Room 3,88,Day 1,Time Slot 1,35
22,AI,Matthew Nelson,685,3,Room 3,89,Day 1,Time Slot 1,35
22,AI,Grace Robinson,686,3,Room 3,90,Day 1,Time Slot 1,35
21,AI,Charlotte Evans,555,3,Room 4,91,Day 1,Time Slot 1,30
21,AI,Alexander Scott,554,3,Room 4,92,Day 1,Time Slot 1,30
19,AI,James Wilson,693,3,Room 4,93,Day 1,Time Slot 1,30
19,AI,Sarah Clark,999,3,Room 4,94,Day 1,Time Slot 1,30
20,AI,William Rodriguez,669,3,Room 4,95,Day 1,Time Slot 1,30
21,AI,Alexander Scott,586,3,Room 4,96,Day 1,Time Slot 1,30
21,AI,Charlotte Evans,587,3,Room 4,97,Day 1,Time Slot 1,30
19,AI,Sarah Clark,662,3,Room 4,98,Day 1,Time Slot 1,30
19,AI,Sarah Clark,630,3,Room 4,99,Day 1,Time Slot 1,30
19,AI,James Wilson,629,3,Room 4,100,Day 1,Time Slot 1,30
20,AI,Sophia Lopez,638,3,Room 4,101,Day 1,Time Slot 1,30
22,AI,Grace Robinson,622,3,Room 4,102,Day 1,Time Slot 1,30
22,AI,Matthew Nelson,621,3,Room 4,103,Day 1,Time Slot 1,30
21,AI,Alexander Scott,645,3,Room 4,104,Day 1,Time Slot 1,30
